"Total of %d record(s) were successfully removed"," %d записей удалено"
"Total of %d record(s) were successfully marked as read"," %d записей помечены как прочитанные"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведомление"
"Severity","Строго"
"Last update","Последнее обновление"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"Error while removing. Please try again later.","Ошибка при удалении. Попробуйте позже."
"Error while marking as read. Please try again later.","Ошибка при пометке как прочитанный. Попробуйте позже."
"Error while marking. Please try again later.","Ошикба при помечании. Попробуйте позже."
"Notifications","Оповещения"
"Unable to proceed. Please, try again","Невозможно продолжить. Попробуйте еще раз"
"Message","Сообщение"
"Message was successfully removed","Сообщение удалено"
"Message was successfully marked as read","Сообщение помечено как прочитанное"
"Remove","Удалить"
"Update frequency","Частота обновления"
"Mark as read","пометить как прочитанное"
"Mark as Read","пометить как прочитанное"
"Use HTTPS to get feed","Используйте HTTPS для получения сообщений"
"Messages Inbox","Входящие"
"Are you sure?","Вы уверены?"
"Please select messages","Выберите сообщения"
"Date Added","Дата добавления"
"Read Details","Детали"
"Actions","Действия"

