"* Required Fields","* Required Fields"
"Comment","Комментарий"
"Contact Form","Обратная Связь"
"Contact Information","Контактная Информация"
"Contact Us","Связаться с Нами"
"Contacts","Контакты"
"Contacts Section","Секция Контактов"
"Email","Email"
"Email Options","Настройки Email"
"Email Sender","Email Отправитель"
"Email Template","Email Шаблон"
"Enable Contact Us","Активировать (Обратную связь)"
"Name","Имя"
"Send Emails To","Отправить письмо"
"Submit","Подтвердить"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
