"CSV","CSV"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"ID","ID"
"Rate","Rate"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Reviews for %s","Reviews for %s"
"Product Sku","SKU товара"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Visible In","Visible In"
"Your Recently Viewed","Your Recently Viewed"
"Bought from wishlists","Куплено из списка отмеченных товаров"
"Coupons","Купоны"
"Shopping Cart","Корзина доставки"
"Number of wishlists: %s","Количество списков с отмеченными товарами: %s"
"Number of Unique Tags","Количество уникальных меток"
"Number of Items","Количество товаров"
"Quantity of Items","Количество товаров"
"Number of items bought from a wishlist: %s","Количество товаров купленных из списка отмеченных товаров: %s"
"Number of times deleted","Количество раз удалено"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда список отмеченных товаров был отправлен по email: %s"
"Number of wishlist referrals: %s","Количество рефералов полученных через список отмеченных товаров: %s"
"Stock Qty","Количество в наличии"
"Number of Ivoiced Orders","Количество выставленых счетов"
"Number Fulfilled","Количество выполненных"
"Number of Refunded Orders","Количество возвращенных заказов"
"Number Added","Количество добавленных"
"Number of Orders","Количество заказов"
"Number Of Historical Uses","Количество из использований из истории"
"Number Purchased","Количество куплено"
"Number of New Accounts","Количество новых учетных записей"
"Number of Reviews","Количество отзывов"
"Number Of Reviews","Количество отзывов"
"Number Viewed","Количество просмотрено"
"Number of wishlist conversions: %s","Количество переходов к списку отмеченных товаров: %s"
"Applied Coupon","Применяемый сертификат"
"Submitted In","Принято"
"Products","Продукты"
"Sales","Продажи"
"Your Recently Compared","Предыдущие сравнения"
"Last Review","Последний отзыв"
"Hits","Посещения"
"Tag Detail","Подробности метки"
"Tag ""%s"" details","Подробности метки ""%s"
"Subtotal","Подитог"
"Search Terms","Поисковые запросы"
"Customer","Покупатель"
"Customers","Покупатели"
"Purchases","Покупки"
"Show for Current","Показать для текущего"
"Customers that have wishlist: %s%","Пользователи имеющие отмеченные товары: %s%"
"Customers by orders total","Пользователи по сумме заказов"
"Customers by number of orders","Пользователи по количеству заказов"
"Popular Tags","Популярные тэги"
"Popularity","Популярность"
"Carrier/Method","Перевозчик/метод"
"Wishlist Report","Отчет о списке отмеченных товаров"
"Poducts Report","Отчет о товарах"
"Products Report","Отчет о товарах"
"Sales Report","Отчет о продажах"
"Customers Report","Отчет о пользователях"
"Reports","Отчеты"
"Review","Отзыв"
"Reviews","Отзывы"
"Products Reviews","Отзывы о продуктах"
"Product Reviews","Отзывы о продукте"
"Customers Reviews","Отзывы покупателей"
"Submitted On","Отправлено"
"Number of Total Tags","Общее количество меток"
"Updated at","Обновлено"
"Title","Название"
"Product Name","Название продукта"
"Most viewed","Наиболее просматриваемые"
"Most Viewed","Наиболее посещаемые"
"Tax","Налог"
"New Accounts","Новый аккаунты"
"Out of stock","Нет в наличии"
"Results","Результаты"
"Link","Ссылка"
"Avg. approved rating","Средний утвержденный рейтинг"
"Avg. rating","Средний рейтинг"
"Discounts","Скидки"
"Created at","Создано"
"Wishlists","Список отмеченных товаров"
"Tag","Тэг"
"Product Tags","Тэги продукта"
"Products in carts","Товары в корзинах"
"Items in Cart","Товаров в корзине"
"Invalid date specified","Указана неверная дата"
"Last Name","Фамилия"
"Price","Цена"
"Number Of Uses","Число использований"
"Number of Views","Число просмотров"
"Low stock","Малое количество в наличии"
"Month","Месяц"
"Products Tags","Метки товаров"
"Customer Tags","Метки пользователя"
"Customers Tags","Метки пользователей"
"Tags submitted to %s","Метки, отправленные для %s"
"Tags submited by %s","Метки,отправленные %s"
"Tag use","Использование метки"
"Name","Имя"
"First Name","Имя"
"Tag Name","Имя тэга"
"Customer Name","Имя покупателя"
"Abandoned carts","Заброшенные корзины"
"Wishlist vs. Regular Order","Зависимость списка отмеченных товаров с регулярными заказами"
"Orders","Заказы"
"Quantity Ordered","Заказанное количество"
"Items Ordered","Заказано товаров"
"Bestsellers","Бестселлеры"
"Carts","В корзине"
"Total refunded","Все возвраты"
"Total","Всего"
"Total Refunded","Всего возвращено"
"Total Tags","Всего меток"
"Tax Amount","Всего налог"
"Total invoiced","Всего платежей"
"Total Shipping","Всего по доставке"
"Invoiced","Выставлено счетов-фактур"
"Refunded","Возвращено"
"Online Refunded","Возвращено через интернет"
"Offline Refunded","Возвращено offline"
"Guest","Гость"
"Year","Год"
"Shipping","Доставка"
"Revenue","Доход"
"Add to Wishlist","Добавить в желаемые"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить к сравнению"
"Detail","Детали"
"Action","Действие"
"Day","День"
